K3;19900508-2384;O01;2012-02-01;2012-02-10;75;;;;;;;;;;ENVE;EnVG
K3;19900508-2384;O02;;;;;;;;;;2012-03-25;2012-03-25;0;ENVE;EnVG
K3;19900508-2384;O03;;;;2012-04-04;2012-04-14;50;;;;;;;ENVE;EnVG
K3;19900508-2384;O04;;;;2012-05-19;2012-05-25;50;;;;;;;ENVE;EnVG
K3;19900508-2384;O05;;;;;;;;;;2012-05-26;2012-05-31;0;ENVE;EnVG
K3;19900508-2384;O06;;;;;;;;;;2012-06-15;2012-06-19;0;ENVE;EnVG
K3;19900508-2384;O07;;;;;;;2012-10-10;2012-10-20;25;;;;ENVE;EnVG
K3;19900508-2384;O08;;;;2012-12-30;2013-01-10;50;;;;;;;ENVE;EnVG
K3;19900508-2384;O08;2013-02-01;2013-04-20;75;;;;;;;;;;ENVE;EnVG
K3;19900508-2384;O10;2013-04-24;2013-05-01;75;2013-05-02;2013-05-03;50;;;;2013-05-04;2013-05-10;0;ENVE;EnVG
K3;19900508-2384;O11;2013-11-18;2031-11-18;75;;;;;;;2013-11-01;2011-01-17;0;ENVE;EnVG
M2;19910913-2390;G02;2012-02-02;2012-02-12;75;2012-02-13;2012-02-13;50;2012-02-14;2012-02-15;25;2012-02-16;2012-03-01;0;ENVE;ENVG
M2;19910913-2390;G03;;;;;;;;;;2012-03-25;2012-03-25;0;ENVE;EnVG
M2;19910913-2390;G04;2012-04-01;2012-04-04;75;;;;;;;;;;TVAVE;TvaVG
M2;19910913-2390;G05;2012-05-19;2012-05-25;75;;;;;;;;;;TVAVE;TvaVG
M2;19910913-2390;G06;;;;;;;;;;2012-05-26;2012-05-31;0;ENVE;ENVG
M2;19910913-2390;G07;;;;;;;;;;2012-06-15;2012-06-19;0;ENVE;EnVG
M2;19910913-2390;G08;;;;;;;2012-10-10;2012-10-20;25;;;;TVAVE;TvaVG
M2;19910913-2390;G09;;;;2012-12-30;2013-01-10;50;;;;;;;TVAVE;TvaVG
M2;19910913-2390;G09;2013-03-05;2013-03-25;75;;;;;;;;;;ENVE;ENVG
M2;19910913-2390;G09;2013-04-24;2013-05-01;75;2013-05-02;2013-05-03;50;;;;2013-05-04;2013-05-10;0;ENVE;EnVG
M2;19910913-2390;A01;2013-07-24;2013-08-01;75;2013-08-02;2013-08-03;50;;;;;;;ENVE;EnVG
M3;19981222-2397;R01;2012-02-12;2012-02-14;75;;;;;;;;;;TVAVE;TvaVG
M3;19981222-2397;R02;;;;;;;;;;2012-03-01;2012-03-04;0;TVAVE;TvaVG
M3;19981222-2397;R03;;;;;;;;;;2012-03-25;2012-03-25;0;TVAVE;TvaVG
M3;19981222-2397;R04;2012-04-19;2012-05-12;75;;;;;;;;;;TVAVE;TvaVG
M3;19981222-2397;R05;;;;;;;;;;2012-05-20;2012-05-28;0;TVAVE;TvaVG
M3;19981222-2397;R06;;;;;;;;;;2012-06-06;2012-06-19;0;TVAVE;TvaVG
M3;19981222-2397;R07;;;;;;;2012-08-10;2012-08-21;25;;;;TVAVE;TvaVG
M3;19981222-2397;Z34;;;;2012-11-30;2012-12-10;50;;;;;;;TVAVE;TvaVG
M3;19981222-2397;Z35;2013-01-05;2013-03-25;75;;;;;;;;;;TVAVE;TvaVG
M3;19981222-2397;Z36;2013-04-24;2013-05-01;75;;;;;;;2013-05-02;2013-05-08;0;TVAVE;TvaVG
M3;19981222-2397;G02;;;;;;;;;;2013-10-10;2013-10-08;0;TVAVE;TvaVG
